1500.0		0.1		0.9988502556
1500.0		1.0		0.9994661166
1500.0		10.0		0.9997521460
1500.0		100.0		0.9998849462
2000.0		0.1		0.9529634960
2000.0		1.0		0.9777900322
2000.0		10.0		0.9896081461
2000.0		100.0		0.9951585101
2500.0		0.1		0.6610896260
2500.0		1.0		0.8186041807
2500.0		10.0		0.9096696347
2500.0		100.0		0.9566411902
3000.0		0.1		0.2444384481
3000.0		1.0		0.4630674905
3000.0		10.0		0.6784948831
3000.0		100.0		0.8293929186
3500.0		0.1		0.0704505735
3500.0		1.0		0.1834285993
3500.0		10.0		0.3819521467
3500.0		100.0		0.6086315748
