1500.0		0.1		0.0007664963
1500.0		1.0		0.0003559223
1500.0		10.0		0.0001652360
1500.0		100.0		0.0000767026
2000.0		0.1		0.0313576693
2000.0		1.0		0.0148066452
2000.0		10.0		0.0069279026
2000.0		100.0		0.0032276599
2500.0		0.1		0.2259402493
2500.0		1.0		0.1209305462
2500.0		10.0		0.0602202435
2500.0		100.0		0.0289058732
3000.0		0.1		0.5037077013
3000.0		1.0		0.3579550063
3000.0		10.0		0.2143367446
3000.0		100.0		0.1137380543
3500.0		0.1		0.6196996177
3500.0		1.0		0.5443809338
3500.0		10.0		0.4120319022
3500.0		100.0		0.2609122835
