1500.0		0.1		0.0003832481
1500.0		1.0		0.0001779611
1500.0		10.0		0.0000826180
1500.0		100.0		0.0000383513
2000.0		0.1		0.0156788347
2000.0		1.0		0.0074033226
2000.0		10.0		0.0034639513
2000.0		100.0		0.0016138300
2500.0		0.1		0.1129701247
2500.0		1.0		0.0604652731
2500.0		10.0		0.0301101218
2500.0		100.0		0.0144529366
3000.0		0.1		0.2518538506
3000.0		1.0		0.1789775032
3000.0		10.0		0.1071683723
3000.0		100.0		0.0568690271
3500.0		0.1		0.3098498088
3500.0		1.0		0.2721904669
3500.0		10.0		0.2060159511
3500.0		100.0		0.1304561417
